what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804143529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321804146895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804148058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804150682
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804150850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321804153706
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804160202
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804198223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804222045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804235473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804235628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804242427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804253287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321804255253
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804255997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321804257003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804263149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804275239
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321804275371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804284187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804291406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804298515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804301593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321804311026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321805292837
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321805327076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321805329827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321805331457
