what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807413528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807416075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321807424865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807426214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807426645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807428459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807430596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321807432763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807434567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807434886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807436132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807439779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807450477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807462155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321807490024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807497556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807499542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807517051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807539006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807541926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807543008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807603888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807610063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807624987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807626786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807636379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807638656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807652914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807652988
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807653070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807655275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807661778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807667636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807669953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321807670461
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807671843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321807672744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807677519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807680739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321807693857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807695857
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321807719542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807738884
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807738977
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807739384
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807739508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807746008
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321807747834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807752834
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807752917
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807753016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807774231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807779390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807787565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807789936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321807790883
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807791882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321807793831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807798676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807799553
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807799648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807802195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807875562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321807877786
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807882174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321807887604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807889497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807899246
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807899383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807904885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807920325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807945846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807956780
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321807956922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321807990678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808051990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808106191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808126148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808139798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808154707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808184750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808186048
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321808187456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808189584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808189952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808200146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808200312
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808200395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808211411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808235259
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808236861
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808237458
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808243541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808249759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808264997
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808265113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808266712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808268868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808288378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808289471
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321808293674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808294600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808294874
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808294955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808303811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808308048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808313550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808315202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808633296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808650838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808650969
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321808669700
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808681739
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808691302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321808722004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321808722676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321808723052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321808724585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808733710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808774839
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321808781254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808789808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808795326
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808795446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321808797100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808800708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808815984
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808816077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321808817191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808818902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808822485
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321808825404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808827910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808828418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808867898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808871475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808874689
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321808874760
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808880877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321808880964
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808881063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321808907302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321808909310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321808911155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321808938009
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321808940204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321808942925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810230698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810234976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810236024
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321810236098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810244959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810246425
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1321810248665
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1321810248855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810250944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810252238
activated,view,org.testng.eclipse,6.3.0.20111017_2337,"org.testng.eclipse.ResultView",1321810252303
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.TypeHierarchy",1321810254369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810254570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810255285
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.TypeHierarchy",1321810255334
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321810256619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810256831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810258082
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321810258133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810259341
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.TypeHierarchy",1321810259365
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321810259485
activated,view,org.testng.eclipse,6.3.0.20111017_2337,"org.testng.eclipse.ResultView",1321810260596
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.TypeHierarchy",1321810262387
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321810265356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810272622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810294572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810294696
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810295255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321810318719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810333708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810346684
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810346874
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810348259
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810350517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810352787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810387115
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810387261
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1321810393125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810394341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810394607
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810394880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810397085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810400506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810419965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810451477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810459965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810461768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321810467064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810468316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810470887
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810471053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321810471617
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810474767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810477774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810489130
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810492955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321810504322
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810505308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321810534957
