what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321432761778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321432773833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433043342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433044823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433236692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321433236770
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321433244965
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321433247486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433256733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433258478
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.extract.local.variable",1321433258511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433261670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433278793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433283168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433283967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433301924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1321433310182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1321433312189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433319689
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.extract.local.variable",1321433319739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433325353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321433331493
