what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810919678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810928388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810930869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810931616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810939012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810939979
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321810945233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321810947387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811024483
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811024622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811069842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811085102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811245723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811270130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811287555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811336677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321811376727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811379645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811403045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321811405730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321811407859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321811411949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811422290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811429951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321811431290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321811433380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321811434862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811436321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811483322
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811489558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321811491379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811494506
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811495003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811500162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811514354
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321811522369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811524455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321811542751
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811543387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811543606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1321811545371
